Octopus Energy | UK | Energy Software
Fingrid | Finland | Energy Software
Statnett | Norway | Energy Software
Svensk Energi | Sweden | Energy Software
Energiforsk | Sweden | Energy Software
Volue | Norway | Energy Software
Enoro | Norway | Energy Software
Greensight | Denmark | Energy Software
Monta | Denmark | Energy Software
Spirii | Denmark | Energy Software
Enevo | Finland | Energy Software
Wirepas | Finland | Energy Software
Eneco | Netherlands | Energy Software
Essent | Netherlands | Energy Software
Nuon | Netherlands | Energy Software
Vandebron | Netherlands | Energy Software
TenneT | Netherlands | Energy Software
Stedin | Netherlands | Energy Software
Liander | Netherlands | Energy Software
Alliander | Netherlands | Energy Software
Gasunie | Netherlands | Energy Software
Energieopwek | Netherlands | Energy Software
Flower Power | Netherlands | Energy Software
Fudura | Netherlands | Energy Software
The Green Choice | Netherlands | Energy Software
Qurrent | Netherlands | Energy Software
OM | Netherlands | Energy Software
New Motion | Netherlands | Energy Software
EVBox | Netherlands | Energy Software
Alfen | Netherlands | Energy Software
Fagne | Netherlands | Energy Software
Spectral | Netherlands | Energy Software
Iberdrola | Spain | Energy Software
Endesa | Spain | Energy Software
Acciona Energia | Spain | Energy Software
EDP Spain | Spain | Energy Software
Naturgy | Spain | Energy Software
Red Electrica | Spain | Energy Software
Enagas | Spain | Energy Software
Siemens Gamesa | Spain | Energy Software
Saica Natur | Spain | Energy Software
Aqualogy | Spain | Energy Software
Enel | Italy | Energy Software
Terna | Italy | Energy Software
Snam | Italy | Energy Software
Hera Group | Italy | Energy Software
A2A | Italy | Energy Software
Iren | Italy | Energy Software
Acegas | Italy | Energy Software
Edison | Italy | Energy Software
Energia | Italy | Energy Software
Italgas | Italy | Energy Software
Axpo | Switzerland | Energy Software
BKW | Switzerland | Energy Software
Alpiq | Switzerland | Energy Software
Repower | Switzerland | Energy Software
Romande Energie | Switzerland | Energy Software
Energie 360 | Switzerland | Energy Software
IWB | Switzerland | Energy Software
EOS Holding | Switzerland | Energy Software
Swissgrid | Switzerland | Energy Software
Amstein Walthert | Switzerland | Energy Software
Verbund | Austria | Energy Software
EVN | Austria | Energy Software
Wien Energie | Austria | Energy Software
Energie AG | Austria | Energy Software
Kelag | Austria | Energy Software
Salzburg AG | Austria | Energy Software
Tiroler Wasserkraft | Austria | Energy Software
Vorarlberger Energienetze | Austria | Energy Software
APCS | Austria | Energy Software
Linz AG | Austria | Energy Software
Elia | Belgium | Energy Software
Fluxys | Belgium | Energy Software
Engie Electrabel | Belgium | Energy Software
Luminus | Belgium | Energy Software
TotalEnergies Belgium | Belgium | Energy Software
EDF Luminus | Belgium | Energy Software
RESA | Belgium | Energy Software
Ores | Belgium | Energy Software
Sibelga | Belgium | Energy Software
Gaselwest | Belgium | Energy Software
ESB | Ireland | Energy Software
SSE Airtricity | Ireland | Energy Software
Electric Ireland | Ireland | Energy Software
Bord Gais | Ireland | Energy Software
Energia | Ireland | Energy Software
Pinergy | Ireland | Energy Software
Prepay Power | Ireland | Energy Software
Iberdrola Ireland | Ireland | Energy Software
Flogas | Ireland | Energy Software
Glowpower | Ireland | Energy Software
PGE | Poland | Energy Software
Tauron | Poland | Energy Software
Enea | Poland | Energy Software
Energa | Poland | Energy Software
PGE Dystrybucja | Poland | Energy Software
Innogy Poland | Poland | Energy Software
CEZ | Czech Republic | Energy Software
EON Czech | Czech Republic | Energy Software
Skoda Auto Energy | Czech Republic | Energy Software
EPH | Czech Republic | Energy Software
Slovenske Elektrarne | Slovakia | Energy Software
ZSE | Slovakia | Energy Software
MOL Group | Hungary | Energy Software
EON Hungary | Hungary | Energy Software
OPUS | Hungary | Energy Software
NEK | Bulgaria | Energy Software
CEZ Bulgaria | Bulgaria | Energy Software
Energoproekt | Bulgaria | Energy Software
Hidroelectrica | Romania | Energy Software
Electrica | Romania | Energy Software
Autogrid | UK | Energy Software
Opus One | Canada | Energy Software
Virtual Peaker | USA | Energy Software
Likewatt | France | Energy Software
BeeBryte | Switzerland | Energy Software
GridBeyond | Ireland | Energy Software
Moixa | UK | Energy Software
Electron | UK | Energy Software
Verv | UK | Energy Software
PassivSystems | UK | Energy Software
Origami Energy | UK | Energy Software
Open Energi | UK | Energy Software
Reactive Technologies | UK | Energy Software
Tempus Energy | UK | Energy Software
Switchee | UK | Energy Software
Mojo Power | Australia | Energy Software
Flick Electric | New Zealand | Energy Software
Powershop | Australia | Energy Software
Amber Electric | Australia | Energy Software
GreenSync | Australia | Energy Software
